CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,TearGas,,,,,,,,,,,,,,,,,,
Chicago,police station at 5400 N Lincoln Ave,Cook,IL,US,2020-06-02,9,9,,9,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://www.facebook.com/events/568731954078720/,online submission,,immuno-freindly protest,,,,,,,,,,,,,,,,,,,
Chicago,Wrigleyville,Cook,IL,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,https://twitter.com/colinbphoto/status/1267898902390493184,,,,,,,,,,,,,,,,,,,,,,
Chicago,down Martin Luther King Jr. Drive in the Bronzeville neighborhood on Chicago’s South Side,Cook,IL,US,2020-06-02,thousands,2000,,2000,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,https://religionnews.com/2020/06/03/the-church-will-not-be-silent-clergy-lead-thousands-in-peaceful-protest-on-chicagos-south-side/,,,,,,,,,,,,,,,,,,,,,,
Chico,Chico City Council Chambers,Butte,CA,US,2020-06-02,about 200,200,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.chicoer.com/2020/06/03/about-200-people-turn-out-for-peaceful-protest-in-chico/,,,,,,,,,,,,,,,,,,,,,,
Chowchilla,,Madera,CA,US,2020-06-02,,,,,,,Merced branch of NAACP,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.losbanosenterprise.com/news/local/article243215376.html,,,,,,,,,,,,,,,,,,,,,,
Claremore,Claremore Park,Rogers,OK,US,2020-06-02,,,,,,,general protestors; local pastors,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.claremoreprogress.com/news/this-is-what-community-looks-like-teen-activist-leads-peaceful-protest-through-claremore/article_6ced327c-a53d-11ea-aebb-4b56bdc88774.html,https://www.newson6.com/story/5ed70fce21625203f30c894b/leaders-from-claremore-churches-hold-peaceful-protest,,,,,,,,,,,,,,,,,,,,,
Clarksburg,,Montgomery ,MD,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://twitter.com/BuddMalika/status/1267948388005412864,,,,,,,,,,,,,,,,,,,,,,
Clarksville,Austin Pea Fortera Stadium to the Montgomery County Courthouse,Montgomery,TN,US,2020-06-02,about 200,200,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.newschannel5.com/news/peaceful-protest-held-in-clarksville-against-police-brutality,,,,,,,,,,,,,,,,,,,,,,
Clayton,,Contra Costa,CA,US,2020-06-02,small,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://docs.google.com/spreadsheets/d/1-HM-bFsnTd9omYOrB8JOMeQ0XzPvCaVaADKqXQ_RpXg/edit#gid=0,,,,1,,,,,,,,,,,,,,,,,,
Clayton,,Pushmataha,OK,US,2020-06-02,400,400,,400,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://twitter.com/annehelen/status/1268233374272901120,,,,,,,,,,,,,,,,,,,,,,
Cleburne,Yellow Jacket Stadium,Johnson,TX,US,2020-06-02,four; seven soon grew to 12; about 20,4,,20,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.cleburnetimesreview.com/news/stronger-together-cleburne-protestors-determined-peaceful/article_1f7faa9a-a503-11ea-82b2-4780aad57423.html,,,,,,,,,,,,,,,,,,,,,,
Clifton,and Passaic,Passaic,NJ,US,2020-06-02,400 plus,400,,1000,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://twitter.com/CourtneeJaneen/status/1269095229652697090,https://www.nj.com/news/2020/06/nj-has-had-dozens-of-george-floyd-protests-so-far-heres-whats-happened-at-them.html,https://www.dailyrecord.com/story/news/2020/06/04/protest-nj-first-time-organizers-lead-george-floyd-rallies/3143358001/,two towns Clifton & Passaic,0,https://www.northjersey.com/story/news/passaic/clifton/2020/06/02/george-floyd-clifton-nj-protest-march-travels-passaic-city-hall/3123366001/,,,,,,,,,,,,,,,,,
Clinton,Clinton's Riverview Bandshell,Clinton,IA,US,2020-06-02,nearly 200,200,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.clintonherald.com/news/local_news/protest-plays-out-peacefully/article_71a8b5f8-a50f-11ea-9a03-37fb9b637df1.html,,,,,,,,,,,,,,,,,,,,,,
Colfax,,Placer,CA,US,2020-06-02,about 15,15,,15,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.theunion.com/news/still-a-lot-of-work-to-be-done-racist-backlash-occurs-at-colfax-protest-promoting-racial-justice/,,,,0,,,,,,,,,,,,,,,,,,
Columbia,mall to Merriweather,Howard,MD,US,2020-06-02,FB: 1000,1000,,1000,,,HoCo For Justice,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://twitter.com/RickRitterWJZ/status/1268005115950239745,https://patch.com/maryland/columbia/columbia-protests-demonstrators-rally-against-george-floyd-death,https://www.facebook.com/events/269248094222309/,,0,,,,,,,,,,,,,,,,,,
Columbia,,Boone,MO,US,2020-06-02,hundreds,200,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.newstribune.com/news/national/story/2020/jun/07/hundreds-attend-march-started-by-teachers-in-st-louis-area/830069/,,,,,,,,,,,,,,,,,,,,,,
Columbia,,Marion,MS,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://twitter.com/ashtonpittman/status/1268355562976264193,,,,,,,,,,,,,,,,,,,,,,
Columbus,near 33rd ave and 23rd st,Platte,NE,US,2020-06-02,about three dozen,36,,36,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://plattevalley.newschannelnebraska.com/story/42202803/protesters-begin-to-gather-in-columbus,,,,,,,,,,,,,,,,,,,,,,
Columbus,,Franklin,OH,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.dispatch.com/news/20200602/george-floyd-protesters-gather-peacefully-in-columbus-for-6th-day-of-demonstrations,,,,,,,,,,,,,,,,,,,,,,
Conway,,Faulkner,AR,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://twitter.com/AdenaJ/status/1268016751649927168,,,,,,,,,,,,,,,,,,,,,,
Conyers,,Rockdale,GA,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://www.rockdalenewtoncitizen.com/news/local/peaceful-march-and-protest-for-justice-for-george-floyd-held-in-conyers-tuesday-night/article_83fcd576-a5b0-11ea-b3fa-e3705f8a98e1.htmll,,,,,,,,,,,,,,,,,,,,,,
Cookeville,Putnam County Courthouse,Putnam,TN,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,1,0,0,0,1,1,"https://herald-citizen.com/stories/one-arrest-after-protesters-counter-protesters-gather-at-courthouse,42471",,,,,,,,,,,,,,,,,,,,,,
Coral Springs,University Drive,Broward,FL,US,2020-06-02,dozens,24,,24,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.nbcmiami.com/news/local/more-protests-demonstrations-in-south-florida-tuesday/2242744/,,,,,,,,,,,,,,,,,,,,,,
Coralville,,Johnson,IA,US,2020-06-02,more than 200,200,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.desmoinesregister.com/story/news/local/2020/07/20/coralville-councilman-gills-racist-remarks-decried-family-fellow-council-members/5472510002/,,,,0,,,,,,,,,,,,,,,,,,
Cranford,Nomahegan Park,Union,NJ,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.buzzfeednews.com/article/annehelenpetersen/black-lives-matter-protests-near-me-small-towns,https://twitter.com/rctrump/status/1267951224546041861,https://www.nj.com/news/2020/06/nj-has-had-dozens-of-george-floyd-protests-so-far-heres-whats-happened-at-them.html,,0,,,,,,,,,,,,,,,,,,
Crested Butte,,Gunnison,CO,US,2020-06-02,hundreds,200,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,http://crestedbuttenews.com/2020/06/george-floyd-matters/,,,,,,,,,,,,,,,,,,,,,,
Crofton,Crofton Community Library to Elementary School Parking Lot,Anne Arundel,MD,US,2020-06-02,350,350,,350,,,general protestors,antiracism; against police brutality,1,protest; march ,0,0,0,0,1,1,https://www.capitalgazette.com/news/ac-cn-crofton-protest-20200603-2hum4ppexzftpkejqnokijl4v4-story.html,,,,,,,,,,,,,,,,,,,,,,
Dadeville,Tallapoosa County Courthouse,Tallapoosa,AL,US,2020-06-02,about a dozen,12,,12,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.alexcityoutlook.com/news/it-starts-with-one-peaceful-protest-in-dadeville-starts-small-as-crowd-grows/article_8c4bce7a-a5ac-11ea-8d4a-1f74d9bd457a.html,,,,,,,,,,,,,,,,,,,,,,
Dallas,Downtown,Dallas,TX,US,2020-06-02,at least a couple hundred; several hundred,200,,300,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.dallasnews.com/news/2020/06/02/fifth-day-of-justice-protests-grip-dallas-north-texas-cities/,https://www.nbcdfw.com/news/local/dallas-city-council-member-leads-peaceful-protest/2381204/,,,,,,,,,,,,,,,,,,,,,
Dansville,Police Headquarters,Livingston,NY,US,2020-06-02,count pic; 11,11,,11,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.thedailynewsonline.com/news/local/teens-gather-for-batavia-protest-as-city-officials-say-they-stand-in-solidarity-over-floyd/article_c1b1e438-9e61-5411-b5fd-97ed295c5113.html,,,,,,,,,,,,,,,,,,,,,,
Danville,Second Street,Boyle,KY,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.wtvq.com/2020/06/03/peaceful-protest-downtown-danville-tuesday//,,,,,,,,,,,,,,,,,,,,,,
Danville,JTI Fountain,Pittsylvania,VA,US,2020-06-02,count pic; 26,26,,26,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.wsls.com/news/local/2020/06/03/im-so-happy-with-the-danville-community-police-chief-praises-city-for-peaceful-protests/,,,,,,,,,,,,,,,,,,,,,,
Davidson,Davidson Concord Road between Davidson College Presbyterian Church and the Village Green at Main Street.,Davidson ,NC,US,2020-06-02,roughly two dozen,24,,24,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.corneliustoday.com/peaceful-protest-in-davidson-one-planned-for-cornelius-wednesday/,https://www.charlotteobserver.com/news/local/crime/article243226516.html,,,,,,,,,,,,,,,,,,,,,
Dearborn,Dearborn Police Station,Wayne,MI,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest; march,0,0,0,0,1,1,https://www.pressandguide.com/multimedia/photos-from-tuesdays-protest-in-dearborn/collection_013676d2-a647-11ea-8696-731b42453ad5.html,,,,,,,,,,,,,,,,,,,,,,
Del Rio,Del Rio Civic Center,Val Verde,TX,US,2020-06-02,more than 200,200,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,http://delrionewsherald.com/news/article_48befbee-a53b-11ea-8562-37f603f34486.html,,,,,,,,,,,,,,,,,,,,,,
DeLand,Woodland Boulevard ,Volusia,FL,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest; march,0,0,0,0,1,1,https://www.news-journalonline.com/photogallery/LK/20200602/PHOTOGALLERY/602009991/PH/1,https://www.beacononlinenews.com/news/keeping-the-peace-agitating-for-change-protests-in-deland/article_4bdd73da-a5dd-11ea-b6f8-9f971696c9ed.html,,,,,,,,,,,,,,,,,,,,,
Denham Springs,320 Martin Luther King Dr; Eugene St; Range Ave; I-12,Livingston,LA,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,march,0,0,0,0,1,1,https://www.wafb.com/2020/06/02/peaceful-protest-held-denham-springs-honor-life-george-floyd/,https://www.wbrz.com/news/denham-springs-protest-brings-community-together-in-peaceful-march/,,,,,,,,,,,,,,,,,,,,,
Denver,,,CO,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://www.denverpost.com/2020/06/03/denver-protests-live-updates-june-3-george-floyd/,,,,,,,,,,,,,,,,,,,,,,
Des Moines,Statehouse; Sculpture House; Terrace House,,IA,US,2020-06-02,hundreds  ,200,,200,,,general protesters,antiracism; against police brutality,1,march,64,0,0,0,1,1,https://www.kcci.com/article/black-lives-matter-protests-in-iowa/32868855#,,,,,,,,,,,,,,,,,,,,,,
Detroit,Gratiot Avenue,Wayne,MI,US,2020-06-02,hundreds (count pic),200,,200,,,general protesters,antiracism; against police brutality,1,protest,127,3,1,0,1,1,https://www.metrotimes.com/news-hits/archives/2020/06/03/detroit-police-kneeled-for-the-cameras-minutes-after-arresting-about-100-peaceful-protesters,https://www.metrotimes.com/news-hits/archives/2020/06/03/protesters-plan-to-rally-against-mayor-duggans-curfew-outside-the-manoogian-mansion,,,0,,,,,,,,,,,,,,,,,,
Dickinson,Third Ave,Stark,ND,US,2020-06-02,75; 100-200; hundreds,75,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://twitter.com/MaraVanElls/status/1268038444371996672,https://biker-news.com/2020/06/03/dickinson-protest-stays-peaceful-with-help-from-a-motorcycle-club.html,https://www.kfyrtv.com/content/news/Dickinson-protest-stays-peaceful-with-help-of-biker-gang-570985441.html,,0,,,,,,,,,,,,,,,,,,
Dublin,Downtown Square,Laurens,GA,US,2020-06-02,dozens,24,,24,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://wgxa.tv/news/local/dublin-protesters-gather-downtown-for-recent-injustices-across-nation,,,,,,,,,,,,,,,,,,,,,,
Dubois,,Fremont,WY,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,demonstration,0,0,0,0,1,1,https://county10.com/small-demonstration-held-in-dubois-this-week/?fbclid=IwAR19knkkOKwtphzbeU4TONL6d-yEmeqiBDm4hGfxrf1msUBFLJb_RQS98h8,,,,,,,,,,,,,,,,,,,,,,
Durham,outside Durham jail,Durham,NC,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://twitter.com/TimABC11/status/1267964933054046210,,,,,,,,,,,,,,,,,,,,,,
East Lansing,near City Hall and the police department; Grand River Avenue and Abbot and Albert streets,Ingham,MI,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.lansingstatejournal.com/story/news/2020/06/02/protest-against-excessive-force-planned-east-lansing/3122559001/,,,,0,,,,,,,,,,,,,,,,,,
East Palo Alto,Menlo Park,San Mateo,CA,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,1,1,1,https://padailypost.com/2020/06/02/nighttime-protest-blocked-near-police-station-demonstrators-also-go-to-zuckerbergs-house/,,,,,,,,,,,,,,,,,,,,,,
Easton,,Talbot,MD,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://twitter.com/annehelen/status/1267839302290948098,,,,,,,,,,,,,,,,,,,,,,
El Paso,Aztec Park to City Hall,El Paso,TX,US,2020-06-02,close to 200; about 200,200,,200,,,general protesters,antiracism; against police brutality,1,march,1,0,0,0,1,1,https://www.elpasotimes.com/story/news/2020/06/02/el-paso-protests-demonstrators-decry-racism-police-brutality/3123283001/,,,,,,,,,,,,,,,,,,,,,,
Elgin,,Bastrop,IL,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.chicagotribune.com/suburbs/elgin-courier-news/ct-ecn-elgin-protests-george-floyd-st-0607-20200606-5qcatgi5tjfndocmjde7jshjci-story.html,,,,,,,,,,,,,,,,,,,,,,
Elkin,corner of Bridge and Market Streets,Surry,NC,US,2020-06-02,about 50,50,,50,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.elkintribune.com/news/29813/protesters-plead-for-unity-to-end-racism,,,,0,,,,,,,,,,,,,,,,,,
Ellensburg,,Kittitas,WA,US,2020-06-02,"at least 500 people, maybe closer to 1,000",500,,1000,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://twitter.com/thevelvetsun/status/1267668533569150977,,,,,,,,,,,,,,,,,,,,,,
Ellsworth,library on state street; city hall,Hancock,ME,US,2020-06-02,more than 100; around 350,100,,350,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://twitter.com/billtrotter/status/1267897944352657413,https://www.wabi.tv/content/news/Hundreds-protest-in-Ellsworth-in-response-to-death-of-George-Floyd-570974781.html,,,0,,,,,,,,,,,,,,,,,,
Elmhurst,North Avenue and York Street,DuPage,IL,US,2020-06-02,more than 200,200,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://patch.com/illinois/elmhurst/no-problems-elmhurst-protest,,,,,,,,,,,,,,,,,,,,,,
Encinitas,Glen Park,San Diego,CA,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,demonstration; protest,0,0,0,0,1,1,https://www.encinitasadvocate.com/news/story/2020-06-04/nightly-peaceful-grows-at-cardiff-kook,,,,,,,,,,,,,,,,,,,,,,
Enid,Garfield County Courthouse,Garfield,OK,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.enidnews.com/news/updated-protesters-march-in-downtown-enid-in-reaction-to-george-floyds-death/article_c7fc818c-a4fb-11ea-a245-3f94124efa42.html,,,,,,,,,,,,,,,,,,,,,,
Eugene,Lane County Circuit Court,,OR,US,2020-06-02,several hundred,300,,300,,,general protesters,antiracism; against police brutality,1,protest; march,0,0,0,0,1,1,https://www.dailyemerald.com/news/time-for-change-momentum-continues-in-eugene-protests-against-police-brutality/article_e4c7521c-a54e-11ea-b695-07657e4c4e3e.html,,,Fifth day,0,,,,,,,,,,,,,,,,,,
Fairfield,West Texas Street,Solano,CA,US,2020-06-02,more than 100,100,,100,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.sfgate.com/news/editorspicks/article/Bay-Area-protest-updates-Schaaf-calls-Oakland-15310892.php,https://www.thereporter.com/2020/06/02/peaceful-march-held-in-downtown-fairfield/,,,0,,,,,,,,,,,,,,,,,,
Fairfield,Town Green,Fairfield,CT,US,2020-06-02,about 250,250,,250,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://patch.com/connecticut/fairfield/protest-closes-post-road-downtown-fairfield,https://www.wtnh.com/news/connecticut/black-lives-matter-protest-on-fairfield-town-green-tuesday-calls-out-injustice-following-death-of-george-floyd/,https://www.ctpost.com/local/article/Protesters-stand-in-solidarity-as-CT-15312270.php,,,,,,,,,,,,,,,,,,,,
Farmington,St. Francois County  Courthouse,St. Francois,MO,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://edition.cnn.com/2020/06/06/us/small-town-blm-protests-trnd/index.html,,,,,,,,,,,,,,,,,,,,,,
Farmville,county courthouse,Prince Edward,VA,US,2020-06-02,approximately 80,80,,80,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.farmvilleherald.com/2020/06/unsanctioned-protest-held/,,,,0,,,,,,,,,,,,,,,,,,
Fayetteville,Fayetteville Square,Washington,AR,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://twitter.com/clarbusta/status/1267976268504616961,,,,,,,,,,,,,,,,,,,,,,
Flagstaff,,Coconino,AZ,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://twitter.com/Rusteia/status/1268024428094296064,,,,,,,,,,,,,,,,,,,,,,
Flossmoor,"thru Homewood, IL as well",Cook,IL,US,2020-06-02,hundreds,200,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://twitter.com/alanna_cotch/status/1268292125420068870,https://hfchronicle.com/article/2020/jun/05/village-officials-say-tuesday-protest-march-went-well,,,,,,,,,,,,,,,,,,,,,
Flower Mound ,,Denton,TX,US,2020-06-02,over 100,100,,100,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://twitter.com/Paulspinkrose/status/1267946713622425601,https://www.dallasnews.com/news/2020/06/08/protest-sprouts-in-the-suburbs-of-north-texas-and-beyond-in-wake-of-george-floyds-killing/,,,,,,,,,,,,,,,,,,,,,
Forest Grove,base of Forest Grove’s famed large flag,Washington ,OR,US,2020-06-02,around 300; about 300,300,,300,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.galescreekjournal.com/posts/381/hundreds-gather-in-forest-grove-to-protest-police-brutality-against-black-americans,https://pamplinmedia.com/fgnt/36-news/468974-379685-forest-grove-residents-rally-for-change,,,0,,,,,,,,,,,,,,,,,,
Fort Bragg,Main Street,Mendocino,CA,US,2020-06-02,hundreds,200,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.advocate-news.com/2020/06/03/students-lead-black-lives-matter-protest-downtown/,https://www.mtshastanews.com/news/20200603/justice-for-george-floyd-protest-in-mount-shasta-remains-peaceful,,,,,,,,,,,,,,,,,,,,,
Fort Collins,Colorado State University to Old Town Fort Collins,,CO,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.coloradoan.com/story/news/2020/06/02/george-floyd-protesters-march-through-old-town-fort-collins-colorado/3125374001/,,,,,,,,,,,,,,,,,,,,,,
Fort Myers,,Lee,FL,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://www.news-press.com/story/news/local/2020/06/04/george-floyd-peaceful-protesters-take-break-email-local-representatives/3145359001/,,,,,,,,,,,,,,,,,,,,,,
Fort Worth,Tarrant County Courthouse,,TX,US,2020-06-02,about 150; several hundred,150,,300,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.star-telegram.com/news/local/fort-worth/article243220821.html,,,,,,,,,,,,,,,,,,,,,,
Frankford,Frankford Volunteer Fire Company’s fire hall,Sussex,DE,US,2020-06-02,about 25,25,,25,,,general protestors,antiracism; against police brutality,1,protest; demonstration,0,0,0,0,1,1,https://www.coastalpoint.com/news/communities/frankford/frankford-sees-peaceful-demonstration-amid-national-protest-movement/article_8b157b3e-a604-11ea-8d55-2b85c440e7ff.html,,,,,,,,,,,,,,,,,,,,,,
Franklin,First Missionary Baptist Church,Williamson,TN,US,2020-06-02,thousands,2000,,2000,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://twitter.com/JSAShaffer/status/1268009026815700997,https://www.tennessean.com/story/news/local/2020/06/02/black-lives-matter-protests-tennessee-spring-hill-clarksville/5316911002/,,,,,,,,,,,,,,,,,,,,,
Fraser,US Highway 40 and County Road 804,Grand,CO,US,2020-06-02,about 40,40,,40,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.skyhinews.com/news/grand-gathers-in-support-of-george-floyd/,,,,,,,,,,,,,,,,,,,,,,
Frederick ,Cornors of Market and Patrick Streets,Frederick,MD,US,2020-06-02,about 75,75,,75,,,Showing Up for Racial Justice,antiracism; against police brutality,1,protest; demonstration,0,0,0,0,1,1,https://www.fredericknewspost.com/news/crime_and_justice/protesters-in-downtown-frederick-call-for-justice-for-george-floyd/article_272227ed-37a6-5f49-9392-1c671ccd68c8.html,,,,,,,,,,,,,,,,,,,,,,
Fredericksburg,in front of the Slave Auction Block in downtown,Spotsylvania,VA,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://twitter.com/annehelen/status/1268020350299725824,https://www.fredericksburg.com/news/local/photos-black-lives-matter-protests-continue-in-fredericksburg/collection_041dc4de-d120-57a1-b75a-482c4abe9d93.html#12,,*,,,,,,,,,,,,,,,,,,,
Freehold,Hall of Records,Monmouth,NJ,US,2020-06-02,about 300,300,,300,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.app.com/story/news/local/communitychange/2020/06/02/george-floyd-freehold-protest/3123952001/,https://patch.com/new-jersey/freehold/freehold-floyd-protest-grows-tense-hear-what-we-have-say,,,,,,,,,,,,,,,,,,,,,
Freemont ,the Freemont Police Department ,Alameda,CA,US,2020-06-02,roughly 500,500,,500,,,general protesters,antiracism; against police brutality,1,protest; march ,0,0,0,0,1,1,https://sfbayca.com/2020/06/03/peaceful-fremont-protest-finds-no-solidarity-with-police/,,,,,,,,,,,,,,,,,,,,,,
Freeport,,Nassau,NY,US,2020-06-02,dozens,24,,24,,,general protesters,antiracism; against police brutality,1,march,,,,,1,1,https://twitter.com/ceciliadowdnews/status/1267884221332369408,,,,,,,,,,,,,,,,,,,,1,1,https://twitter.com/KatieRedefer/status/1267585036607512577
Fremont,Courthouse,Alameda,CA,US,2020-06-02,hundreds,200,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://twitter.com/FremontPD/status/1267978367640330242,https://www.timesheraldonline.com/2020/06/02/bay-areas-george-floyd-protests-keep-spreading-thousands-march-in-fremont-san-franciscos-great-highway/,,,0,,,,,,,,,,,,,,,,,,
Frostburg,,Allegany,MD,US,2020-06-02,about 50,50,,50,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.times-news.com/news/photos-video-protesters-take-to-street-in-frostburg/article_9428c604-a4f1-11ea-b55c-bf75760ca8cb.html,,,,0,,,,,,,,,,,,,,,,,,
Frostburg,Corner of East Main and Center Streets,Allegany,MD,US,2020-06-02,about 50,50,,50,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.times-news.com/news/photos-video-protesters-take-to-street-in-frostburg/article_9428c604-a4f1-11ea-b55c-bf75760ca8cb.html,,,,,,,,,,,,,,,,,,,,,,
Gainesville,,Alachua,FL,US,2020-06-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,5,0,0,1,1,1,https://twitter.com/annehelen/status/1267836901123227654,https://www.timesfreepress.com/news/breakingnews/story/2020/jun/18/5-georgia-men-charged-torching-police-car-after-protest/525637/,,,,,,,,,,,,,,,,,,,,,
Garrettsville,The Village Bookstore,Portage,OH,US,2020-06-02,about 10-15,10,,15,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.record-courier.com/news/20200603/small-protest-in-garrettsville-aims-to-start-conversation-about-race,,,,,,,,,,,,,,,,,,,,,,
Glasgow,The Square,Barren,KY,US,2020-06-02,over 200,200,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.wbko.com/content/news/Black-Lives-Matter-prayer-vigil-takes-place-in-Glasgow-570973411.html,,,,,,,,,,,,,,,,,,,,,,
Gloucester,Fisherman's Memorial to City Hall,Essex,MA,US,2020-06-02,more than 250,250,,250,,,general protesters,antiracism; against police brutality,1,march,0,0,0,0,1,1,https://www.gloucestertimes.com/multimedia/black-lives-matter-march-to-gloucester-city-hall-june-2-2020/video_3d56759b-f297-578b-8b9b-7cf88f474a37.html,https://www.gloucestertimes.com/news/local_news/seaside-protest-mobilizes-250-protesters-march-from-boulevard-to-city-hall/article_8ecb4224-e2a5-5c9d-b2c8-aada6c2e5c6d.html,https://www.salemnews.com/multimedia/black-lives-matter-march-to-gloucester-city-hall-june-2-2020/video_9a7f35b0-ffc9-5b5c-b155-6ccef41b01b1.html,,0,,,,,,,,,,,,,,,,,,
